"MEASURE","Data Item","REGIONTYPE","Region Type","REGION","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10050","Albury (C)","A","Annual","2012","2012",9068,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10110","Armidale Dumaresq (A)","A","Annual","2012","2012",5848,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10150","Ashfield (A)","A","Annual","2012","2012",6415,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10200","Auburn (C)","A","Annual","2012","2012",9528,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10250","Ballina (A)","A","Annual","2012","2012",9133,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10300","Balranald (A)","A","Annual","2012","2012",450,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10350","Bankstown (C)","A","Annual","2012","2012",32789,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10470","Bathurst Regional (A)","A","Annual","2012","2012",7667,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10550","Bega Valley (A)","A","Annual","2012","2012",8259,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10600","Bellingen (A)","A","Annual","2012","2012",3044,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10650","Berrigan (A)","A","Annual","2012","2012",1970,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10750","Blacktown (C)","A","Annual","2012","2012",50763,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10800","Bland (A)","A","Annual","2012","2012",1185,,
"DISAB_2","Disability Estimates - Persons with a disability living in private dwellings (no.)","LGA2014","Local Government Areas (2014)","10850","Blayney (A)","A","Annual","2012","2012",1066,,
