"MEASURE","Data Item","REGIONTYPE","Region Type","REGION","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","1","New South Wales","A","Annual","2011","2011",473405,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","1","New South Wales","A","Annual","2012","2012",480038,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","1","New South Wales","A","Annual","2013","2013",486682,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","1","New South Wales","A","Annual","2014","2014",489248,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","1","New South Wales","A","Annual","2015","2015",491839,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","3","Queensland","A","Annual","2011","2011",304330,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","3","Queensland","A","Annual","2012","2012",311523,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","3","Queensland","A","Annual","2013","2013",316067,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","3","Queensland","A","Annual","2014","2014",317767,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","3","Queensland","A","Annual","2015","2015",318233,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","7","Northern Territory","A","Annual","2011","2011",18492,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","7","Northern Territory","A","Annual","2012","2012",18781,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","7","Northern Territory","A","Annual","2013","2013",19092,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","7","Northern Territory","A","Annual","2014","2014",19060,,
"ERP_P_2","Estimated Resident Population - Persons - 0-4 years (no.)","STE","States and Territories","7","Northern Territory","A","Annual","2015","2015",19000,,
